nemonico,valores
MunicipioDeResidencia,15212
MunicipioDeResidencia,15215
MunicipioDeResidencia,15218
MunicipioDeResidencia,15223
MunicipioDeResidencia,15224
MunicipioDeResidencia,15226
MunicipioDeResidencia,15232
MunicipioDeResidencia,15236
MunicipioDeResidencia,15238
MunicipioDeResidencia,15244
MunicipioDeResidencia,15248
MunicipioDeResidencia,15272
MunicipioDeResidencia,15276
MunicipioDeResidencia,15293
MunicipioDeResidencia,15296
MunicipioDeResidencia,15299
MunicipioDeResidencia,15317
MunicipioDeResidencia,15322
MunicipioDeResidencia,15325
MunicipioDeResidencia,15332
MunicipioDeResidencia,15362
MunicipioDeResidencia,15367
MunicipioDeResidencia,15368
MunicipioDeResidencia,15377
MunicipioDeResidencia,15380
MunicipioDeResidencia,15401
MunicipioDeResidencia,15403
MunicipioDeResidencia,15407
MunicipioDeResidencia,15425
MunicipioDeResidencia,15442
MunicipioDeResidencia,15455
MunicipioDeResidencia,15464
MunicipioDeResidencia,15466
MunicipioDeResidencia,15469
MunicipioDeResidencia,15476
MunicipioDeResidencia,15480
MunicipioDeResidencia,15491
MunicipioDeResidencia,15494
MunicipioDeResidencia,15500
MunicipioDeResidencia,15507
MunicipioDeResidencia,15511
MunicipioDeResidencia,15514
MunicipioDeResidencia,15516
MunicipioDeResidencia,15518
MunicipioDeResidencia,15522
MunicipioDeResidencia,15531
MunicipioDeResidencia,15533
MunicipioDeResidencia,15537
MunicipioDeResidencia,15542
MunicipioDeResidencia,15550
MunicipioDeResidencia,15572
MunicipioDeResidencia,15580
MunicipioDeResidencia,15599
MunicipioDeResidencia,15600
MunicipioDeResidencia,15621
MunicipioDeResidencia,15632
MunicipioDeResidencia,15638
MunicipioDeResidencia,15646
MunicipioDeResidencia,15660
MunicipioDeResidencia,15664
MunicipioDeResidencia,15667
MunicipioDeResidencia,15673
MunicipioDeResidencia,15676
MunicipioDeResidencia,15681
MunicipioDeResidencia,15686
MunicipioDeResidencia,15690
MunicipioDeResidencia,15693
MunicipioDeResidencia,15696
MunicipioDeResidencia,15720
MunicipioDeResidencia,15723
MunicipioDeResidencia,15740
MunicipioDeResidencia,15753
MunicipioDeResidencia,15755
MunicipioDeResidencia,15757
MunicipioDeResidencia,15759
MunicipioDeResidencia,15761
MunicipioDeResidencia,15762
MunicipioDeResidencia,15763
MunicipioDeResidencia,15764
MunicipioDeResidencia,15774
MunicipioDeResidencia,15776
MunicipioDeResidencia,15778
MunicipioDeResidencia,15790
MunicipioDeResidencia,15798
MunicipioDeResidencia,15804
MunicipioDeResidencia,15806
MunicipioDeResidencia,15808
MunicipioDeResidencia,15810
MunicipioDeResidencia,15814
MunicipioDeResidencia,15816
MunicipioDeResidencia,15820
MunicipioDeResidencia,15822
MunicipioDeResidencia,15832
MunicipioDeResidencia,15835
MunicipioDeResidencia,15837
MunicipioDeResidencia,15839
MunicipioDeResidencia,15842
MunicipioDeResidencia,15861
MunicipioDeResidencia,15879
MunicipioDeResidencia,15897
MunicipioDeResidencia,17001
MunicipioDeResidencia,17013
MunicipioDeResidencia,17042
MunicipioDeResidencia,17050
MunicipioDeResidencia,17088
MunicipioDeResidencia,17174
MunicipioDeResidencia,17272
MunicipioDeResidencia,17380
MunicipioDeResidencia,17388
